# SpO2 Calibration — 2026-03-23 00:59:43
# Model,UpnMed U401-D(01AS-F)
# LOT,202308030190052
# PartNo,(01)06970404880031(10)UBCH0301(11)230803(17)250802(21)202308030190052
# SimDevice,MS100
# SimSetting,R-Curve Nellcor, 100 bpm
# SpO2LocalCalc: DC_IIR_TAU_S=1.6, AC_EMA_TAU_S=1.0
# Firmware defaults: a=104.0, b=17.0
#
index,spo2_ref,R_fw_mean,R_local_mean
1,100.0,0.460000,0.470453
2,100.0,0.460000,0.469247
3,100.0,0.456215,0.447091
4,98.0,0.539044,0.544041
5,98.0,0.545640,0.544911
6,98.0,0.546215,0.533183
7,96.0,0.606255,0.602756
8,96.0,0.605538,0.617065
9,96.0,0.610000,0.613285
10,94.0,0.670000,0.673795
11,94.0,0.655936,0.670236
12,94.0,0.670000,0.659118
13,92.0,0.726693,0.728587
14,92.0,0.729681,0.722814
15,92.0,0.729801,0.741495
16,90.0,0.774440,0.797545
17,90.0,0.774440,0.797545
18,90.0,0.778088,0.786355
19,90.0,0.775840,0.771744
# Regression: a  =  115.0260, b  =  31.8226, R²  =  0.9921
