file,tier,condition,subject_code,truth_hr_bpm,truth_spo2_pct,truth_beats,usable_from_s,consent,notes,name_hint
MS100_98SPO2_100HR_20260905_220259.csv,,,,,,,,,,spo2=98
MS100_98SPO2_120HR_20260905_220436.csv,,,,,,,,,,spo2=98
MS100_98SPO2_140HR_20260905_220609.csv,,,,,,,,,,spo2=98
MS100_98SPO2_180HR_20260905_220733.csv,,,,,,,,,,spo2=98
MS100_98SPO2_220HR_20260905_220857.csv,,,,,,,,,,spo2=98
MS100_98SPO2_250HR_20260905_221031.csv,,,,,,,,,,spo2=98
MS100_98SPO2_40HR_20260905_221200.csv,,,,,,,,,,spo2=98
MS100_98SPO2_55HR_20260905_215649.csv,,,,,,,,,,spo2=98
MS100_98SPO2_55HR_20260905_215803.csv,,,,,,,,,,spo2=98
MS100_98SPO2_60HR_20260905_215933.csv,,,,,,,,,,spo2=98
MS100_98SPO2_80HR_20260905_220058.csv,,,,,,,,,,spo2=98
PHOTOTHERAPY_10000HZ_SIMUL_60BPM_96SPO2_20260624_082717.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_1000HZ_SIMUL_60BPM_96SPO2_20260625_233304.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_20000HZ_SIMUL_60BPM_96SPO2_20260624_082332.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_2000HZ_SIMUL_60BPM_96SPO2_20260625_231622.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_400HZ_SIMUL_60BPM_96SPO2_20260620_233424.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_400HZ_SIMUL_60BPM_96SPO2_20260624_083632.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_50000HZ_SIMUL_60BPM_96SPO2_20260621_001453.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_50000HZ_SIMUL_60BPM_96SPO2_20260624_081825.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_5000HZ_SIMUL_60BPM_96SPO2_20260624_083125.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_500HZ_SIMUL_60BPM_96SPO2_20260624_083336.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_50HZ_SIMUL_60BPM_96SPO2_20260624_083954.csv,,,,,,,,,,bpm=60; spo2=96; looks like simulator; phototherapy
PHOTOTHERAPY_ONOFF_60BPM_90SPO2_20260618_175921.csv,,,,,,,,,,bpm=60; spo2=90; phototherapy
kk_20260905_171624.csv,,,,,,,,,,
kk_20260905_171633.csv,,,,,,,,,,
kk_good.csv,,,,,,,,,,
labcap_BASELINE_20260610_002407.csv,,,,,,,,,,
labcap_BASELINE_20260610_002424.csv,,,,,,,,,,
labcap_diag_finger_20260417_185614.csv,,,,,,,,,,
labcap_diag_finger_20260417_221857.csv,,,,,,,,,,
labcap_diag_finger_20260417_234346.csv,,,,,,,,,,
labcap_diag_nofinger_20260417_185522.csv,,,,,,,,,,
labcap_diag_unplugged_20260417_185329.csv,,,,,,,,,,
labcap_diag_unplugged_20260417_185345.csv,,,,,,,,,,
labcap_diag_unplugged_20260417_185424.csv,,,,,,,,,,
ppg_data_snap_20260415_212708.csv,,,,,,,,,,
ppg_data_snap_20260419_125527.csv,,,,,,,,,,
ppg_data_snap_20260419_155939.csv,,,,,,,,,,
ppg_data_snap_20260421_004540.csv,,,,,,,,,,
ppg_data_snap_20260423_090153.csv,,,,,,,,,,
ppg_data_snap_20260518_224755.csv,,,,,,,,,,
ppg_data_stream_20260415_210628.csv,,,,,,,,,,
ppg_data_stream_20260415_212658.csv,,,,,,,,,,
ppg_data_stream_20260415_220551.csv,,,,,,,,,,
ppg_data_stream_20260417_234839.csv,,,,,,,,,,
ppg_data_stream_20260417_234943.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260412_015146.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260412_015146_result.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260412_015203.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260412_015203_result.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260414_191435.csv,,,,,,,,,,
ppg_spo2_98_hr_60_MS100_20260414_191444.csv,,,,,,,,,,
